login,group_faculty,group_out
r0300101,1,35
r0300102,1,32
r0300103,1,32
r0300104,1,32
r0300105,1,32
r0300106,1,32
r0300107,1,32
r0300108,1,35
r0300109,1,32
r0300110,1,32
r0300111,1,32
r0300112,1,35
r0300113,1,32
r0300114,1,32
r0300115,1,35
r0300116,1,32
r0300119,1,32
r0300201,2,36
r0300202,2,33
r0300203,2,36
r0300204,2,36
r0300205,2,33
r0300206,2,33
r0300207,2,36
r0300208,2,32
r0300209,2,33
r0300210,2,36
r0300211,2,32
r0300212,2,36
r0300213,2,36
r0300214,2,32
r0300215,2,32
r0300216,2,36
r0300301,3,35
r0300302,3,31
r0300303,3,35
r0300304,3,35
r0300305,3,32
r0300306,3,31
r0300307,3,31
r0300308,3,32
r0300309,3,35
r0300310,3,35
r0300311,3,31
r0300312,3,35
r0300313,3,35
r0300314,3,33
r0300315,3,31
r0300316,3,32
r0300401,4,31
r0300402,4,31
r0300403,4,36
r0300404,4,36
r0300405,4,33
r0300406,4,36
r0300407,4,36
r0300409,4,36
r0300410,4,34
r0300411,4,33
r0300412,4,33
r0300413,4,36
r0300414,4,33
r0300415,4,36
r0300501,5,34
r0300502,5,33
r0300503,5,34
r0300504,5,31
r0300505,5,34
r0300506,5,35
r0300507,5,33
r0300508,5,33
r0300509,5,34
r0300510,5,35
r0300511,5,35
r0300512,5,31
r0300513,5,33
r0300514,5,33
r0300515,5,35
r0300516,5,34
r0300517,5,34
r0300518,5,34
r0300601,6,33
r0300602,6,34
r0300603,6,34
r0300604,6,34
r0300605,6,36
r0300607,6,35
r0300608,6,35
r0300609,6,36
r0300610,6,34
r0300611,6,33
r0300612,6,34
r0300613,6,35
r0300614,6,36
r0300615,6,34
r0300616,6,34
r0300617,6,34
r0300618,6,34
r0300619,6,36
r0300801,8,38
r0300802,8,38
r0300803,8,38
r0300804,8,38
r0300805,8,38
r0300806,8,38
r0300807,8,38
r0300808,8,38
r0300809,8,38
r0300810,8,38
r0300811,8,38
,4,31
,8,38
,8,38
,8,38
,8,38
,8,38
